Gd,Co,Fe,Ce,Pt
92.16684,452.1811,703.2354,184.523,756.9019
71.69973,492.8099,644.3868,227.4784,747.6851
102.4532,476.7688,649.0897,179.5947,693.2046
98.53746,510.7804,644.454,175.9191,657.4535
97.66636,455.0183,658.0187,201.4209,671.2722
83.30965,501.9661,576.6312,207.2916,739.0436
122.3031,411.1138,597.5845,221.3213,751.5382
89.86388,435.737,692.6851,182.0747,760.9694
100.4833,409.7254,632.8354,199.4111,745.7985
88.56384,404.2559,601.4348,219.1718,788.0587
86.31435,414.2931,596.0515,213.0589,775.183
62.65821,433.4593,595.6703,292.7861,796.7862
138.2811,420.5205,576.5838,222.0977,752.3228
107.4813,399.6523,542.9828,286.5863,772.1962
119.4536,362.5374,560.6948,288.186,702.5125
104.4268,374.8781,474.003,338.4798,807.4146
128.2454,318.8493,445.8207,358.2627,732.2846
108.7991,325.28,430.0159,417.3633,751.9753
196.4901,191.3046,330.1987,445.6965,762.1049
149.7466,137.0509,224.1069,530.8943,728.256
166.7718,113.7834,135.5921,571.633,741.2771
184.0334,57.66994,128.7285,647.0193,709.579
175.0767,75.96161,103.0907,590.04,708.5024
203.2941,73.15543,104.2233,671.8354,776.3624
171.8176,68.3316,111.459,625.9531,703.8914
147.1776,87.89543,110.2257,649.5853,656.9996
168.7623,81.03397,99.68589,641.993,646.8953
183.499,71.8224,102.6319,616.4758,739.5567
214.5664,76.38338,90.79733,599.6752,711.714
176.1255,58.03694,104.756,647.2563,671.5748
192.4114,71.32889,95.39892,601.7319,688.4664
163.6818,66.89102,99.3298,618.1158,685.8691
195.4559,60.74562,104.1652,631.3598,696.8547
216.8302,48.10407,93.80203,608.3176,682.4651
238.3963,46.37381,94.56431,684.9608,694.7328
168.4557,76.20279,113.5916,737.933,728.9206
186.2994,59.36352,112.9441,658.4559,677.0284
192.24,53.82434,112.8151,637.6217,665.8117
159.9538,84.6503,91.3139,644.4532,711.9648
180.4325,81.95653,57.39573,608.0434,652.147
199.7292,70.64706,111.4082,663.7974,649.4256
189.4215,64.10351,93.77845,612.8926,686.9063
198.8251,54.07105,95.20218,597.1679,661.6931
192.866,51.38609,92.00093,658.7995,698.9623
152.0129,73.31579,96.20744,624.2293,665.2819
178.9924,61.97485,115.9056,605.338,660.7276
183.2926,68.93456,117.309,629.1978,642.9813
170.449,87.12246,94.916,665.6833,613.597
167.3506,106.0742,98.08758,658.3857,695.0784
191.7392,70.55466,74.35915,670.7957,655.2229
196.408,66.0021,96.0706,656.6411,655.8076
194.1003,77.69275,129.4292,667.2101,651.3029
223.0035,77.95618,114.7136,665.8691,593.8932
185.0664,61.56617,109.8092,697.7106,624.5596
198.0389,58.33515,110.6795,620.5491,602.5677
166.0492,98.21471,103.563,670.4648,609.3309
190.9993,66.6723,103.457,643.1335,680.8208
211.591,73.10171,105.2787,639.2129,615.0743
206.3888,73.31323,96.17454,666.5731,625.9875
155.6241,41.06805,80.85809,650.8854,725.8112
213.115,54.03972,91.6013,660.5129,741.2118
